,Title,Published_date,Views,Likes,Favourite,Comments,Month
197,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,44592,908,0,155,Apr
198,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,73035,1897,0,213,Apr
199,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,81512,1769,0,277,Apr
200,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,129847,3512,0,620,Apr
201,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,199578,5064,0,175,Apr
202,When Data Science Goes Wrong,2020-03-30,1809,106,0,32,Mar
203,How to ULTRALEARN Data Science,2020-03-27,61976,3825,0,169,Mar
204,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4442,268,0,50,Mar
205,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13155,469,0,45,Mar
206,The Secret Data Scientists Don't Want You to Know,2020-03-16,10780,1139,0,103,Mar
207,The 5 Stages of Learning Data Science,2020-03-13,17543,1296,0,78,Mar
208,Can You Learn Data Science Without a Computer?,2020-03-11,1740,119,0,14,Mar
209,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,347373,21218,0,620,Mar
210,The Data Science Projects that Got Me a Job,2020-03-06,41073,1401,0,41,Mar
211,How to Integrate Data Science into Your Business,2020-03-02,3385,129,0,18,Mar
212,The Problem with Data Science,2020-02-28,3798,154,0,19,Feb
213,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1179,46,0,16,Feb
214,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,130496,2489,0,97,Feb
215,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,328831,17837,0,527,Feb
216,Data Science Advice for College Students,2020-02-14,68970,1963,0,197,Feb
217,Avoid These Data Science Resume Mistakes!,2020-02-10,28522,1247,0,62,Feb
218,Data Science Explained with ... Cooking?,2020-02-07,5342,315,0,48,Feb
219,The 4 Types of Sports Analytics Projects,2020-02-03,31714,1036,0,62,Feb
220,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,588,18,0,13,Jan
221,How I Learned Data Science,2020-01-27,94166,2695,0,210,Jan
222,What is Sports Analytics Really?,2020-01-20,21520,617,0,73,Jan
223,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,111569,3140,0,575,Jan
224,How To Learn Programming for Data Science [3 Steps],2020-01-13,30127,1982,0,96,Jan
225,Data Science Fundamentals: SQL Queries,2020-01-10,6595,215,0,35,Jan
226,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3157,152,0,14,Jan
227,The 9 Books That Changed My Perspective in 2019,2020-01-03,3395,180,0,25,Jan
228,The Data Science Interview: What to Expect,2019-12-30,8602,380,0,32,Dec
229,5 Data Science Resolutions for 2020,2019-12-27,475,25,0,12,Dec
230,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,17077,603,0,93,Dec
231,Collision Course: Sports Betting + Data Science,2019-12-20,18503,508,0,27,Dec
232,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100978,2932,0,204,Dec
233,5 Sports Analytics Books to Get You Started,2019-12-13,11053,417,0,59,Dec
234,Math Needed for Mastering Data Science,2019-12-09,57412,2898,0,222,Dec
235,The 5 Stages of Data Science Adoption,2019-12-06,1332,69,0,17,Dec
236,How YOU Can Land a Sports Analytics Job,2019-12-02,70264,3101,0,231,Dec
237,Data Science Fundamentals: Linear Regression,2019-11-29,6412,172,0,42,Nov
238,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1120,54,0,12,Nov
239,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6253,274,0,26,Nov
240,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46338,1762,0,80,Nov
241,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5955,137,0,31,Nov
242,Why Selling Is An Important Data Science Skill,2019-11-04,1635,81,0,13,Nov
243,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2871,73,0,18,Oct
244,Why is Balance Important in Data Science?,2019-10-16,707,32,0,13,Oct
245,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11954,585,0,54,Sep
246,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3931,116,0,34,Sep
247,6 Habits of Successful Data Scientists,2019-09-13,2242,95,0,17,Sep
248,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4741,105,0,9,Sep
249,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,522,24,0,29,Aug
250,Is Data Science Right For You?,2019-08-18,51207,1183,0,109,Aug
251,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14987,393,0,55,Aug
252,How To Get Data Science Experience (Without a Job),2019-08-08,29630,1389,0,74,Aug
